Station_Event_ID,Catch_ID,Species_recorded,Scientific_Name,Taxonomic_rank,Lifestage,common_name,identifiedBy,dateIdentified,Catch_weight,Catch_weight_units,Weight_method,Catch_count,Count_method,Catch_volume,Catch_volume_units,Comments
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-1,NA,Aequorea sp.,genus,adult,NA,Aleksey Somov,2022-03-02T00:00:00Z,0.643,Kilograms,Total,NA,NA,NA,NA,NA
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-2,NA,Oncorhynchus tschawytscha,species,immature,Chinook Salmon,Aleksey Somov,2022-03-02T00:00:00Z,1.313,Kilograms,Total,1,Total,NA,NA,NA
IYS2022-TINRO-3-1-Trawl,IYS2022-TINRO-3-1-Trawl-3,NA,Oncorhynchus nerka,species,immature,Sockeye Salmon,Aleksey Somov,2022-03-02T00:00:00Z,1.431,Kilograms,Total,2,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-4,NA,Aequorea sp.,genus,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.495,Kilograms,Total,NA,NA,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-5,NA,Phacellophora camtshchatica,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.336,Kilograms,Total,1,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-6,NA,Onychoteuthis borealijaponica,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,1.373,Kilograms,Total,8,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-7,NA,Boreoteuthis borealis,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.158,Kilograms,Total,12,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-8,NA,Boreoteuthis borealis,species,Juvenile,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.003,Kilograms,Total,1,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-9,NA,Tarletonbeania crenularis,species,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.013,Kilograms,Total,8,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-10,NA,Oncorhynchus gorbuscha,species,Juvenile,Pink Salmon,Aleksey Somov,2022-03-03T00:00:00Z,0.129,Kilograms,Total,1,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-11,NA,Oncorhynchus kisutch,species,immature,Coho Salmon,Aleksey Somov,2022-03-03T00:00:00Z,2.158,Kilograms,Total,5,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-12,NA,Oncorhynchus nerka,species,immature,Sockeye Salmon,Aleksey Somov,2022-03-03T00:00:00Z,4.947,Kilograms,Total,9,Total,NA,NA,NA
IYS2022-TINRO-3-2-Trawl,IYS2022-TINRO-3-2-Trawl-13,NA,Gonatidae sp.,family,Juvenile,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.007,Kilograms,Total,4,Total,NA,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-14,NA,Aequorea sp.,genus,adult,NA,Aleksey Somov,2022-03-03T00:00:00Z,0.43,Kilograms,Total,NA,NA,NA,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-15,NA,Oncorhynchus gorbuscha,species,Juvenile,Pink Salmon,Aleksey Somov,2022-03-03T00:00:00Z,0.122,Kilograms,Total,1,Total,NA,NA,NA
IYS2022-TINRO-3-3-Trawl,IYS2022-TINRO-3-3-Trawl-16,NA,Oncorhynchus keta,species,Juvenile,Chum Salmon,Aleksey Somov,2022-03-03T00:00:00Z,0.098,Kilograms,Total,1,Total,NA,NA,NA
